N,f,timeToElection,alpha,timeSpentInNanoSeconds
3,0,10,0.0,12668076
3,0,10,0.0,2274079
3,0,10,0.0,1849276
3,0,10,0.0,685652
3,0,10,0.0,1091830
3,0,100,0.0,1972666
3,0,100,0.0,2354239
3,0,100,0.0,679701
3,0,100,0.0,270955
3,0,100,0.0,554455
3,0,500,0.0,554137
3,0,500,0.0,1227133
3,0,500,0.0,684721
3,0,500,0.0,1009971
3,0,500,0.0,183723
3,0,1000,0.0,4822597
3,0,1000,0.0,257821
3,0,1000,0.0,589947
3,0,1000,0.0,615176
3,0,1000,0.0,620275
3,0,1500,0.0,627973
3,0,1500,0.0,718219
3,0,1500,0.0,1251546
3,0,1500,0.0,892543
3,0,1500,0.0,517301
3,0,2000,0.0,339933
3,0,2000,0.0,353425
3,0,2000,0.0,184066
3,0,2000,0.0,1067560
3,0,2000,0.0,404373
3,0,10,0.1,1298871
3,0,10,0.1,224258
3,0,10,0.1,592370
3,0,10,0.1,344554
3,0,10,0.1,698532
3,0,100,0.1,849362
3,0,100,0.1,918374
3,0,100,0.1,915525
3,0,100,0.1,679991
3,0,100,0.1,874700
3,0,500,0.1,406474
3,0,500,0.1,667682
3,0,500,0.1,766828
3,0,500,0.1,808238
3,0,500,0.1,830847
3,0,1000,0.1,311789
3,0,1000,0.1,325291
3,0,1000,0.1,375615
3,0,1000,0.1,322176
3,0,1000,0.1,685039
3,0,1500,0.1,719707
3,0,1500,0.1,456919
3,0,1500,0.1,548649
3,0,1500,0.1,400680
3,0,1500,0.1,257452
3,0,2000,0.1,541099
3,0,2000,0.1,539212
3,0,2000,0.1,410468
3,0,2000,0.1,179615
3,0,2000,0.1,189104
3,0,10,1.0,529761
3,0,10,1.0,615272
3,0,10,1.0,404067
3,0,10,1.0,1278147
3,0,10,1.0,360519
3,0,100,1.0,987209
3,0,100,1.0,1191637
3,0,100,1.0,441765
3,0,100,1.0,1583606
3,0,100,1.0,813021
3,0,500,1.0,544603
3,0,500,1.0,197917
3,0,500,1.0,196797
3,0,500,1.0,219544
3,0,500,1.0,185216
3,0,1000,1.0,262433
3,0,1000,1.0,409148
3,0,1000,1.0,229707
3,0,1000,1.0,301146
3,0,1000,1.0,330361
3,0,1500,1.0,914871
3,0,1500,1.0,360767
3,0,1500,1.0,356232
3,0,1500,1.0,351826
3,0,1500,1.0,225295
3,0,2000,1.0,248068
3,0,2000,1.0,296470
3,0,2000,1.0,266466
3,0,2000,1.0,91913
3,0,2000,1.0,143617
10,4,10,0.0,1811966
10,4,10,0.0,1000673
10,4,10,0.0,2589464
10,4,10,0.0,250604
10,4,10,0.0,10000929
10,4,100,0.0,517969
10,4,100,0.0,7695593
10,4,100,0.0,5921609
10,4,100,0.0,166859
10,4,100,0.0,5499964
10,4,500,0.0,3441265
10,4,500,0.0,572539
10,4,500,0.0,3415335
10,4,500,0.0,2556921
10,4,500,0.0,1243721
10,4,1000,0.0,478264
10,4,1000,0.0,936622
10,4,1000,0.0,838390
10,4,1000,0.0,642277
10,4,1000,0.0,1359731
10,4,1500,0.0,510986
10,4,1500,0.0,400319
10,4,1500,0.0,507995
10,4,1500,0.0,2247401
